record_id	tier	accession_codes	disease_field	disease_field_source	disease_field_is_free_text	disease_group	healthy_cohort
MMC2-09735	1	PRJNA579996	host_disease	disease_key		Metabolic	
MMC2-09747	1	PRJEB59450	cancer_in_past	disease_key		Anatomical	
MMC2-10254	1		Cardiometabolic_status	disease_key		Metabolic	
MMC2-10490	1	PRJEB27216	host disease status	disease_key		Cancer	
MMC2-10547	1		Mortality_status	disease_key		Respiratory	
MMC2-10561	1	10.5281/ZENODO.7183678; PRJEB53401; PRJEB53403	donor_group	disease_key		Neurodegenerative	
MMC2-10637	1		host_disease	disease_key		Oral	
MMC2-10669	1	PRJNA307231	HIV_Profile:	disease_key		Infectious	
MMC2-10741	1		case_control_group	disease_key		Metabolic	
MMC2-10916	1	SRA045646; SRA050230	sample_title	reviewer_note	yes	Metabolic	
MMC2-11206	1	PRJEB47047	severity	reviewer_note		Reproductive	
MMC2-11252	1	PRJNA316126; PRJNA539959; PRJNA548310	Host_disease_status; host_disease	disease_key		Respiratory	
MMC2-12620	1	PRJNA836344	sample_description	reviewer_note	yes	Reproductive	
MMC2-12782	1	GSE86491; PRJEB14941; PRJEB16013; PRJEB24147; PRJNA295859; PRJNA481576; PRJNA547595; PRJNA737052	nourishment_status_group; primary_pathology	disease_key		Immune Complications	
MMC2-ADD-001	1	PRJEB11419	skin_condition	disease_key		Healthy	yes
MMC2-00101	2	DRA017480	sample_title	reviewer_note	yes	Cancer	
MMC2-00138	2	PRJEB1415	sample_description	reviewer_note	yes	Cancer	
MMC2-00158	2	PRJDB12280	sample_name	reviewer_note	yes	Oral	
MMC2-00175	2	PRJEB13249	tissue	reviewer_note		Cancer	yes
MMC2-00179	2	PRJEB18476	host disease status	disease_key		Cancer	
MMC2-00180	2	PRJEB21104	treatment	reviewer_note		Cancer	
MMC2-00186	2	PRJEB26931; PRJNA375772	sample_alias	reviewer_note	yes	Cancer	
MMC2-00195	2	PRJEB34333	sample_description	reviewer_note	yes	Cancer	
MMC2-00213	2	PRJEB46474	sample_description	reviewer_note	yes	Cancer	
MMC2-00220	2	PRJEB54599	chemotherapy	reviewer_note		Cancer	
MMC2-00227	2	PRJEB63351	sample_title	reviewer_note	yes	Cancer	
MMC2-00243	2	PRJNA1011235	sample_description	reviewer_note	yes	Cancer	
MMC2-00247	2	PRJNA1023304	tissue; env_medium	reviewer_note		Cancer	
MMC2-00253	2	PRJNA1029974	Serrated_polyposis_syndrome	reviewer_note		Cancer	
MMC2-00280	2	PRJNA1068138	CASECTL2; advanced.case; large_adenoma2	reviewer_note		Cancer	
MMC2-00286	2	PRJNA1085029	Sample Alias; sample_alias; isolate	reviewer_note	yes	Cancer	
MMC2-00320	2	PRJNA1136994	Cohort	reviewer_note		Cancer	
MMC2-00343	2	PRJNA1197483	sample_alias; env_medium	reviewer_note	yes	Cancer	
MMC2-00349	2	PRJNA1212478	sample_title	reviewer_note	yes	Cancer	
MMC2-00354	2	PRJNA1221641	host_disease	reviewer_note		Cancer	
MMC2-00361	2	PRJNA1244248	library_name	reviewer_note	yes	Cancer	
MMC2-00376	2	PRJNA1347852	Experiment Title; experiment_title; Sample Alias; sample_alias; Experiment	reviewer_note	yes	Cancer	yes
MMC2-00377	2	PRJNA257960	isolate,; isolate	reviewer_note		Cancer	
MMC2-00381	2	PRJNA280026	sample_description	reviewer_note	yes	Cancer	
MMC2-00397	2	PRJNA352375	Sample Alias; sample_alias	reviewer_note	yes	Cancer	
MMC2-00401	2	PRJNA389927	DiseaseClass	disease_key		Cancer	
MMC2-00409	2	PRJNA448161	gynecologic_disord	reviewer_note		Cancer	
MMC2-00423	2	PRJNA533024	Sample Title; sample_title; env_local_scale	reviewer_note	yes	Cancer	
MMC2-00426	2	E-MTAB-7915; PRJNA533720	sample_alias; library_name	reviewer_note	yes	Cancer	
MMC2-00429	2	PRJNA542615	Survival Status	disease_key		Cancer	
MMC2-00431	2	PRJNA549488	CaseControl	reviewer_note		Cancer	
MMC2-00434	2	PRJNA559766	sample_description	reviewer_note	yes	Cancer	
MMC2-00464	2	PRJNA650259	sample_description; chemotherapy_type	reviewer_note	yes	Cancer	yes
MMC2-00467	2	PRJNA658160	case_control; CONSENSUS_DIAG	reviewer_note		Cancer	
MMC2-00486	2	PRJNA707099	disease	disease_key		Cancer	
MMC2-00498	2	PRJNA733573	sample_alias	reviewer_note	yes	Cancer	
MMC2-00500	2	PRJNA736583	sample_title	reviewer_note	yes	Cancer	
MMC2-00505	2	PRJNA743150	isolate; tissue	reviewer_note		Cancer	
MMC2-00516	2	PRJNA763023	sample_alias; experiment_title	reviewer_note	yes	Cancer	
MMC2-00523	2	PRJNA767189	case_control; sample_type; CONSENSUS_DIAG	reviewer_note		Cancer	
MMC2-00525	2	PRJNA767860	host_disease	disease_key		Cancer	
MMC2-00530	2	GSE189642; PRJNA781360; PRJNA781368	tissue; env_medium; explored	reviewer_note		Cancer	
MMC2-00553	2	PRJNA813705	host_disease	disease_key		Cancer	
MMC2-00565	2	PRJNA854790	host_disease	reviewer_note		Cancer	
MMC2-00605	2	PRJNA914231	gynecologic_disord	reviewer_note		Cancer	
MMC2-00613	2	PRJNA940282	sample_alias; sample_description	reviewer_note	yes	Cancer	
MMC2-00614	2	PRJNA941834	tissue; env_local_scale	reviewer_note		Cancer	yes
MMC2-00638	2	SRP009633	sample_description	reviewer_note	yes	Cancer	
MMC2-00653	2	PRJNA314877	health_state	disease_key		Cancer	
MMC2-00673	2	PRJNA451154	experiment_title	reviewer_note	yes	Cancer	
MMC2-00677	2	PRJNA488230	sample_alias	reviewer_note	yes	Cancer	
MMC2-00680	2	PRJNA595787	sample_alias; sample_description	reviewer_note	yes	Cancer	
MMC2-01219	2	PRJNA575808	sample_title; sample_description	reviewer_note	yes	Cancer	
MMC2-01241	2		host_disease	disease_key		Cancer	
MMC2-01429	2		sample_alias	reviewer_note	yes	Cancer	
MMC2-01432	2		sample_alias	reviewer_note	yes	Cancer	
MMC2-01445	2		sample_description	reviewer_note	yes	Gastrointestinal	
MMC2-01471	2		sample_title	reviewer_note	yes	Cancer	
MMC2-01501	2		sample_alias	reviewer_note	yes	Cancer	
MMC2-01516	2		host_disease	disease_key		Cancer	
MMC2-01519	2		Is Tumor:	disease_key		Cancer	
MMC2-01548	2		dermatology disorder; earlier parapsoriasis diagnoses; host disease status;	disease_key		Skin	
MMC2-01562	2		host disease status: ;group	disease_key		Cancer	
MMC2-01583	2		host_disease	disease_key		Cancer	
MMC2-01603	2		primary tumor:	disease_key		Cancer	
MMC2-01890	2	PRJEB72778; PRJEB72779	sample_title	reviewer_note	yes	Cancer	
MMC2-01968	2	PRJEB18720	hpv_status_at_follow_up	reviewer_note		Cancer	
MMC2-02003	2	PRJNA788785	pulmonary_disord; timepoint	reviewer_note		Immune Complications	
MMC2-02043	2	DRA013989	sample_title; host_disease	reviewer_note	yes	Healthy	yes
MMC2-02103	2	DRA002611; DRA002617; DRA002618; DRA011285; DRA011286	sample_title	reviewer_note	yes	Gastrointestinal	
MMC2-02143	2	DRA009950	host_disease_stat	disease_key		Metabolic	
MMC2-02145	2	PRJNA424567	host_disease; Disease	reviewer_note		Reproductive	
MMC2-02160	2		Disease; Group	disease_key		Gastrointestinal	
