accession	record_id	tier
PRJNA1068138	MMC2-00280	2
PRJNA1068750	MMC2-03531	2
PRJNA1077994	MMC2-05615	2
PRJNA1078389	MMC2-03548	2
PRJNA1078442	MMC2-03549	2
PRJNA1080886	MMC2-03556	2
PRJNA1083899	MMC2-03566	2
PRJNA1085029	MMC2-00286	2
PRJNA1088546	MMC2-03576	2
PRJNA1101448	MMC2-10882	2
PRJNA1102742	MMC2-03508	2
PRJNA1104421	MMC2-03619	2
PRJNA1109848	MMC2-03624	2
PRJNA1112760	MMC2-03626	2
PRJNA1114418	MMC2-03631	2
PRJNA1126338	MMC2-03646	2
PRJNA1127788	MMC2-03648	2
PRJNA1134172	MMC2-03663	2
PRJNA1136994	MMC2-00320	2
PRJNA1137103	MMC2-03670	2
PRJNA1137153	MMC2-12544	2
PRJNA1143599	MMC2-03681	2
PRJNA1144689	MMC2-03682	2
PRJNA1152299	MMC2-03693	2
PRJNA1159478	MMC2-03699	2
PRJNA1162807	MMC2-03707	2
PRJNA1163353	MMC2-03709	2
PRJNA1167913	MMC2-03717	2
PRJNA1170177	MMC2-03720	2
PRJNA1175548	MMC2-03728	2
PRJNA1180074	MMC2-03737	2
PRJNA1189347	MMC2-08539	2
PRJNA1192585	MMC2-03762	2
PRJNA1194543	MMC2-03766	2
PRJNA1197483	MMC2-00343	2
PRJNA1202695	MMC2-03782	2
PRJNA1203401	MMC2-03783	2
PRJNA1207020	MMC2-03786	2
PRJNA1208265	MMC2-03790	2
PRJNA1208993	MMC2-03793	2
PRJNA1212478	MMC2-00349	2
PRJNA1216257	MMC2-03807	2
PRJNA1221641	MMC2-00354	2
PRJNA1225217	MMC2-03819	2
PRJNA1229860	MMC2-05614	2
PRJNA1242794	MMC2-03837	2
PRJNA1244045	MMC2-03839	2
PRJNA1244248	MMC2-00361	2
PRJNA1252380	MMC2-03850	2
PRJNA1262893	MMC2-03860	2
PRJNA1277165	MMC2-03881	2
PRJNA1279610	MMC2-03883	2
PRJNA1347852	MMC2-00376	2
PRJNA1377879	MMC2-12417	2
PRJNA200702	MMC2-02316	2
PRJNA213037	MMC2-05383	2
PRJNA214416	MMC2-05385	2
PRJNA224948	MMC2-05387	2
PRJNA2282203	MMC2-03915	2
PRJNA234437	MMC2-03918	2
PRJNA234437	MMC2-03919	2
PRJNA238348	MMC2-05378	2
PRJNA246158	MMC2-02533	2
PRJNA248613	MMC2-05411	2
PRJNA253517	MMC2-05399	2
PRJNA257186	MMC2-10511	2
PRJNA257960	MMC2-00377	2
PRJNA264177	MMC2-03931	2
PRJNA268708	MMC2-03934	2
PRJNA269954	MMC2-00379	2
PRJNA271691	MMC2-05415	2
PRJNA271791	MMC2-03937	2
PRJNA276495	MMC2-05417	2
PRJNA276631	MMC2-03942	2
PRJNA280026	MMC2-00381	2
PRJNA282013	MMC2-03915	2
PRJNA285808	MMC2-03919	2
PRJNA287742	MMC2-05428	2
PRJNA290729	MMC2-03954	2
PRJNA294119	MMC2-05740	2
PRJNA298762	MMC2-02279	2
PRJNA304689	MMC2-05443	2
PRJNA31257	MMC2-03989	2
PRJNA314877	MMC2-00653	2
PRJNA321051	MMC2-04001	2
PRJNA326866	MMC2-05463	2
PRJNA33175	MMC2-03481	2
PRJNA350676	MMC2-05476	2
PRJNA352375	MMC2-00397	2
PRJNA353587	MMC2-04034	2
PRJNA3535980	MMC2-04034	2
PRJNA373901	MMC2-04049	2
PRJNA375772	MMC2-00186	2
PRJNA375935	MMC2-02656	2
PRJNA378267	MMC2-02241	2
PRJNA379878	MMC2-04058	2
PRJNA388707	MMC2-05489	2
PRJNA389927	MMC2-00401	2
PRJNA390475	MMC2-04074	2
PRJNA390784	MMC2-04077	2
PRJNA391236	MMC2-05378	2
PRJNA391575	MMC2-04080	2
PRJNA392046	MMC2-12967	2
PRJNA393472	MMC2-12977	2
PRJNA397112	MMC2-03989	2
PRJNA398089	MMC2-03989	2
PRJNA407815	MMC2-04099	2
PRJNA412501	MMC2-04101	2
PRJNA413615	MMC2-04103	2
PRJNA414455	MMC2-04106	2
PRJNA417357	MMC2-09644	2
PRJNA417968	MMC2-05741	2
PRJNA422983	MMC2-05505	2
PRJNA424567	MMC2-02145	2
PRJNA428382	MMC2-04125	2
PRJNA428805	MMC2-04127	2
PRJNA431746	MMC2-05511	2
PRJNA433269	MMC2-04131	2
PRJNA437984	MMC2-05415	2
PRJNA439281	MMC2-04139	2
PRJNA448161	MMC2-00409	2
PRJNA450025	MMC2-03717	2
PRJNA451154	MMC2-00673	2
PRJNA46337	MMC2-04156	2
PRJNA473351	MMC2-05735	2
PRJNA486782	MMC2-04185	2
PRJNA488230	MMC2-00677	2
PRJNA489760	MMC2-04192	2
PRJNA504921	MMC2-04210	2
PRJNA504944	MMC2-11047	2
PRJNA50563	MMC2-02832	2
PRJNA506811	MMC2-04210	2
PRJNA511372	MMC2-04224	2
PRJNA511382	MMC2-04224	2
PRJNA511717	MMC2-03681	2
PRJNA517056	MMC2-04058	2
PRJNA521398	MMC2-04244	2
PRJNA523312	MMC2-12894	2
PRJNA525585	MMC2-10331	2
PRJNA532496	MMC2-04271	2
PRJNA533024	MMC2-00423	2
PRJNA533720	MMC2-00426	2
PRJNA540738	MMC2-04283	2
PRJNA542615	MMC2-00429	2
PRJNA549488	MMC2-00431	2
PRJNA549764	MMC2-08697	2
PRJNA554111	MMC2-04192	2
PRJNA55453	MMC2-04317	2
PRJNA554535	MMC2-04317	2
PRJNA556341	MMC2-04323	2
PRJNA558378	MMC2-04324	2
PRJNA558911	MMC2-04324	2
PRJNA559766	MMC2-00434	2
PRJNA559898	MMC2-03989	2
PRJNA562467	MMC2-04329	2
PRJNA564282	MMC2-04330	2
PRJNA565173	MMC2-04333	2
PRJNA566293	MMC2-05724	2
PRJNA574485	MMC2-04058	2
PRJNA575641	MMC2-04344	2
PRJNA575808	MMC2-01219	2
PRJNA577959	MMC2-05716	2
PRJNA590225	MMC2-04364	2
PRJNA595703	MMC2-04364	2
PRJNA595703	MMC2-04380	2
